case       img shape              labels        Cochlea_L  Cochlea_R  Parotid_L  Parotid_R
case_01    (404, 2, 256, 256)     [0 1 2 3 4]          66         56      19862      16590
case_02    (408, 2, 256, 256)     [0 1 2 3 4]         106         90      31452      34092
case_03    (388, 2, 256, 256)     [0 1 2 3 4]          68         84      17798      18002
case_04    (368, 2, 256, 256)     [0 1 2 3 4]          66         84      17556      20580
case_05    (364, 2, 256, 256)     [0 1 2 3 4]          68         64      29018      26502
case_06    (423, 2, 256, 256)     [0 1 2 3 4]         270        270      34392      33582
case_07    (396, 2, 256, 256)     [0 1 2 3 4]         120        114      21423      22350
case_08    (405, 2, 256, 256)     [0 1 2 3 4]         177        171      28053      35499
case_09    (348, 2, 256, 256)     [0 1 2 3 4]          96         63      25902      19773
case_10    (429, 2, 256, 256)     [0 1 2 3 4]          87         63      29178      31233
case_11    (408, 2, 256, 256)     [0 1 2 3 4]         171        159      17100      15795
case_12    (414, 2, 256, 256)     [0 1 2 3 4]          78         60      25581      25788
case_13    (420, 2, 256, 256)     [0 1 2 3 4]         234        201      26151      32232
case_14    (372, 2, 256, 256)     [0 1 2 3 4]         138        162      21246      21708
case_15    (603, 2, 256, 256)     [0 1 2 3 4]          93         87      38388      27072
case_16    (396, 2, 256, 256)     [0 1 2 3 4]          81        108      17664      15918
case_17    (366, 2, 256, 256)     [0 1 2 3 4]         135        135      26556      28113
case_18    (408, 2, 256, 256)     [0 1 2 3 4]          60         78      47265      46602
case_19    (450, 2, 256, 256)     [0 1 2 3 4]         186        156       9522      13530
case_20    (402, 2, 256, 256)     [0 1 2 3 4]         132        132      29853      25449
case_21    (430, 2, 256, 256)     [0 1 2 3 4]         152        142      31948      29684
case_22    (396, 2, 256, 256)     [0 1 2 3 4]         198        240      23582      22034
case_23    (370, 2, 256, 256)     [0 1 2 3 4]         176        220      19664      20938
case_24    (374, 2, 256, 256)     [0 1 2 3 4]         188        188      18768      16756
case_25    (392, 2, 256, 256)     [0 1 2 3 4]         170        220      32156      33856
case_26    (404, 2, 256, 256)     [0 1 2 3 4]         220        206      40702      35120
case_27    (400, 2, 256, 256)     [0 1 2 3 4]         166        198      27580      24392
case_28    (646, 2, 256, 256)     [0 1 2 3 4]         164        238      28324      27602
case_29    (466, 2, 256, 256)     [0 1 2 3 4]         198        224      29724      27228
case_30    (428, 2, 256, 256)     [0 1 2 3 4]         236        250      43956      38006
case_31    (370, 2, 256, 256)     [0 1 2 3 4]         166        140      37570      33338
case_32    (420, 2, 256, 256)     [0 1 2 3 4]         204        164      28230      28752
case_33    (418, 2, 256, 256)     [0 1 2 3 4]         196        214      13034      11138
case_34    (400, 2, 256, 256)     [0 1 2 3 4]         206        196      55220      48472
case_35    (412, 2, 256, 256)     [0 1 2 3 4]         250        236      44216      44680
case_36    (378, 2, 256, 256)     [0 1 2 3 4]         186        220      26364      24940
case_37    (372, 2, 256, 256)     [0 1 2 3 4]         144        146      24798      25886
case_38    (408, 2, 256, 256)     [0 1 2 3 4]         162        168      15656      15398
case_39    (404, 2, 256, 256)     [0 1 2 3 4]         188        206      51270      53782
case_40    (378, 2, 256, 256)     [0 1 2 3 4]         168        202      26938      28700
case_41    (394, 2, 256, 256)     [0 1 2 3 4]         108         92      21466      24350
case_42    (410, 2, 256, 256)     [0 1 2 3 4]         178        212      32038      37602

